FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.36993,36993,912340431,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,3,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,1,10,FPC,POINT (-16.43 28.16)
M1_DATA.36994,36994,912340431,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,3,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,63,FPC,POINT (-16.43 28.16)
M1_DATA.36995,36995,912340436,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,4.5,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,1,32,RSS,POINT (-16.43 28.16)
M1_DATA.36996,36996,912340436,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,4.5,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,1,12,RSS,POINT (-16.43 28.16)
M1_DATA.36997,36997,912340436,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,4.5,Chordata,Actinopterygii,Synodontidae,Synodus synodus,1,1,RSS,POINT (-16.43 28.16)
M1_DATA.36998,36998,912340436,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,4.5,Chordata,Actinopterygii,Labridae,Thalassoma pavo,1,24,RSS,POINT (-16.43 28.16)
M1_DATA.36999,36999,912340442,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,7,Chordata,Actinopterygii,Pomacentridae,Abudefduf luridus,1,15,RSS,POINT (-16.43 28.16)
M1_DATA.37000,37000,912340442,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,7,Chordata,Actinopterygii,Tetraodontidae,Canthigaster capistrata,2,10,RSS,POINT (-16.43 28.16)
M1_DATA.37001,37001,912340442,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,7,Chordata,Actinopterygii,Pomacentridae,Chromis limbata,1,3,RSS,POINT (-16.43 28.16)
M1_DATA.37002,37002,912340442,Spain,Azores Canaries Madeira,Temperate Northern Atlantic,CAN1,El Poris,28.16,-16.43,2011-12-08T13:00:00Z,7,Chordata,Actinopterygii,Tetraodontidae,Sphoeroides marmoratus,1,4,RSS,POINT (-16.43 28.16)
